fold,task_c_index,Stage_accuracy,Stage_macro_precision,Stage_macro_recall,Stage_macro_f1,Stage_weighted_precision,Stage_weighted_recall,Stage_weighted_f1,Stage_auc_ovo,Stage_class0_precision,Stage_class0_recall,Stage_class0_f1,Stage_class0_support,Stage_class1_precision,Stage_class1_recall,Stage_class1_f1,Stage_class1_support,Stage_class2_precision,Stage_class2_recall,Stage_class2_f1,Stage_class2_support,Stage_class3_precision,Stage_class3_recall,Stage_class3_f1,Stage_class3_support,Age_accuracy,Age_macro_precision,Age_macro_recall,Age_macro_f1,Age_weighted_precision,Age_weighted_recall,Age_weighted_f1,Age_auc_ovo,Age_class0_precision,Age_class0_recall,Age_class0_f1,Age_class0_support,Age_class1_precision,Age_class1_recall,Age_class1_f1,Age_class1_support,Age_class2_precision,Age_class2_recall,Age_class2_f1,Age_class2_support,RNA_Bio_ter_accuracy,RNA_Bio_ter_macro_precision,RNA_Bio_ter_macro_recall,RNA_Bio_ter_macro_f1,RNA_Bio_ter_weighted_precision,RNA_Bio_ter_weighted_recall,RNA_Bio_ter_weighted_f1,RNA_Bio_ter_auc_ovo,RNA_Bio_ter_class0_precision,RNA_Bio_ter_class0_recall,RNA_Bio_ter_class0_f1,RNA_Bio_ter_class0_support,RNA_Bio_ter_class1_precision,RNA_Bio_ter_class1_recall,RNA_Bio_ter_class1_f1,RNA_Bio_ter_class1_support,RNA_Bio_ter_class2_precision,RNA_Bio_ter_class2_recall,RNA_Bio_ter_class2_f1,RNA_Bio_ter_class2_support,xp,run,feature_file,paitent_limit,np_bags_dir,bag_size,resample_small_bags,static_bags,no_concepts,batch_size,epochs,learning_rate,vit_learning_rate,dropout,weight_decay,lr_scheduler,model_name,fine_tune,grad_checkpointing,pooling,concept_loss_weight,concept_heads,task_head,Stage_classconfusion_precision,Stage_classconfusion_recall,Stage_classconfusion_f1,Stage_classconfusion_support,Age_classconfusion_precision,Age_classconfusion_recall,Age_classconfusion_f1,Age_classconfusion_support,RNA_Bio_ter_classconfusion_precision,RNA_Bio_ter_classconfusion_recall,RNA_Bio_ter_classconfusion_f1,RNA_Bio_ter_classconfusion_support
fold_0,0.644803229061554,0.4864864864864865,0.3862734487734487,0.2784709542165415,0.2780895575013222,0.4524389301175016,0.4864864864864865,0.4581520228579053,0.5820469180887115,0.2857142857142857,0.1935483870967742,0.2307692307692307,31.0,0.5606060606060606,0.6981132075471698,0.6218487394957983,106.0,0.3125,0.2222222222222222,0.2597402597402597,45.0,,0.0,0.0,3.0,0.5567567567567567,0.4943131074336748,0.4870684243565599,0.4860555237913728,0.5333678359210274,0.5567567567567567,0.5400027815122155,0.6667102601660041,0.6574074074074074,0.7888888888888889,0.7171717171717171,90.0,0.425531914893617,0.3389830508474576,0.3773584905660377,59.0,0.4,0.3333333333333333,0.3636363636363636,36.0,0.8162162162162162,0.4678264122708567,0.4328398025877017,0.4427492679919864,0.7820274820274821,0.8162162162162162,0.7936424635453763,0.6838818860877685,0.8580246913580247,0.9455782312925172,0.8996763754045307,147.0,0.5454545454545454,0.3529411764705882,0.4285714285714285,34.0,0.0,0.0,0.0,4.0,baseline_1781214199,run_2,data/brca.csv,1000,data/bags_np/bag_150/,128,True,False,False,8,10,0.001,0.001,0.2,4e-05,cosine,uni,none,False,abmil,1.0,linear,linear,,,,,,,,,,,,
fold_1,0.7178082191780822,0.4864864864864865,0.340011961722488,0.3053125290238692,0.3079352416142809,0.4572675546359757,0.4864864864864865,0.4550981592466308,0.6166025991627366,0.4736842105263157,0.2432432432432432,0.3214285714285714,37.0,0.5227272727272727,0.711340206185567,0.6026200873362445,97.0,0.3636363636363636,0.2666666666666666,0.3076923076923077,45.0,0.0,0.0,0.0,6.0,0.5081081081081081,0.4813154195883817,0.4473856209150326,0.4496826213758793,0.4974961942806718,0.5081081081081081,0.4903234062678221,0.6586246451442529,0.5575221238938053,0.7,0.6206896551724138,90.0,0.4081632653061224,0.392156862745098,0.4,51.0,0.4782608695652174,0.25,0.3283582089552239,44.0,0.7189189189189189,0.5455939765755716,0.362124898621249,0.3529166666666666,0.6662875801923681,0.7189189189189189,0.6717162162162162,0.6858610435252771,0.7730061349693251,0.9197080291970804,0.84,137.0,0.3181818181818182,0.1666666666666666,0.21875,42.0,,0.0,0.0,6.0,baseline_1781214199,run_2,data/brca.csv,1000,data/bags_np/bag_150/,128,True,False,False,8,10,0.001,0.001,0.2,4e-05,cosine,uni,none,False,abmil,1.0,linear,linear,,,,,,,,,,,,
fold_2,0.6177581863979849,0.5837837837837838,0.4729647814754198,0.3239065678581807,0.3277417027417027,0.544387191277535,0.5837837837837838,0.5467298467298468,0.7364963754076657,0.3888888888888889,0.2258064516129032,0.2857142857142857,31.0,0.6453900709219859,0.8198198198198198,0.7222222222222222,111.0,0.3846153846153846,0.25,0.303030303030303,40.0,,0.0,0.0,3.0,0.5513513513513514,0.5111716090041288,0.5009750348226722,0.4980941978913581,0.530745150921585,0.5513513513513514,0.5319134349560313,0.7006187720990035,0.6106194690265486,0.7666666666666667,0.6798029556650246,90.0,0.4390243902439024,0.2950819672131147,0.3529411764705882,61.0,0.4838709677419355,0.4411764705882353,0.4615384615384615,34.0,0.7783783783783784,0.6938851603281133,0.4455102584598987,0.4516460905349794,0.7645535453749636,0.7783783783783784,0.7671171171171172,0.7019184652278178,0.8322147651006712,0.8920863309352518,0.8611111111111112,139.0,0.5555555555555556,0.4444444444444444,0.4938271604938271,45.0,,0.0,0.0,1.0,baseline_1781214199,run_2,data/brca.csv,1000,data/bags_np/bag_150/,128,True,False,False,8,10,0.001,0.001,0.2,4e-05,cosine,uni,none,False,abmil,1.0,linear,linear,,,,,,,,,,,,
fold_3,0.5847766636280766,0.4486486486486487,0.3631397615485743,0.2506206554121152,0.2509098544232923,0.4302041627623022,0.4486486486486487,0.4251293847038527,0.5947276230131768,0.3888888888888889,0.1842105263157894,0.25,38.0,0.5426356589147286,0.660377358490566,0.5957446808510638,106.0,0.1578947368421052,0.1578947368421052,0.1578947368421052,38.0,,0.0,0.0,3.0,0.5459459459459459,0.5344444444444445,0.5089914767249026,0.5037037037037037,0.5378238238238239,0.5459459459459459,0.5242042042042042,0.66892128504763,0.5648148148148148,0.8133333333333334,0.6666666666666666,75.0,0.52,0.3880597014925373,0.4444444444444444,67.0,0.5185185185185185,0.3255813953488372,0.4,43.0,0.827027027027027,0.7063376874697629,0.4503030303030302,0.4580842155303238,0.8136683401143656,0.827027027027027,0.8141214770801739,0.7501683501683502,0.8742138364779874,0.9266666666666666,0.8996763754045307,150.0,0.5384615384615384,0.4242424242424242,0.4745762711864407,33.0,,0.0,0.0,2.0,baseline_1781214199,run_2,data/brca.csv,1000,data/bags_np/bag_150/,128,True,False,False,8,10,0.001,0.001,0.2,4e-05,cosine,uni,none,False,abmil,1.0,linear,linear,,,,,,,,,,,,
fold_4,0.6051779935275081,0.5,0.4053694843168527,0.2795138888888889,0.2735238282272846,0.501063264221159,0.5,0.4744893951296151,0.6834892618312757,0.1515151515151515,0.2083333333333333,0.175438596491228,24.0,0.5909090909090909,0.7222222222222222,0.65,108.0,0.4736842105263157,0.1875,0.2686567164179104,48.0,,0.0,0.0,4.0,0.5652173913043478,0.4981537832409222,0.499683744465528,0.4971655328798186,0.5772532289836945,0.5652173913043478,0.5694968204673173,0.6675038136696804,0.723404255319149,0.6666666666666666,0.6938775510204082,102.0,0.4262295081967213,0.5098039215686274,0.4642857142857143,51.0,0.3448275862068966,0.3225806451612903,0.3333333333333333,31.0,0.8206521739130435,0.733058608058608,0.4614771193718562,0.4704908617952095,0.8061036569323862,0.8206521739130435,0.8029873403219338,0.6073487915593179,0.8589743589743589,0.9370629370629372,0.8963210702341137,143.0,0.6071428571428571,0.4473684210526316,0.5151515151515151,38.0,,0.0,0.0,3.0,baseline_1781214199,run_2,data/brca.csv,1000,data/bags_np/bag_150/,128,True,False,False,8,10,0.001,0.001,0.2,4e-05,cosine,uni,none,False,abmil,1.0,linear,linear,,,,,,,,,,,,
fold_0,0.6417759838546923,0.4864864864864865,0.3784849810440362,0.2759619936430648,0.274524573778009,0.454669728783902,0.4864864864864865,0.4611030353447491,0.6227346843699044,0.2777777777777778,0.1612903225806451,0.2040816326530612,31.0,0.5826771653543307,0.6981132075471698,0.6351931330472103,106.0,0.275,0.2444444444444444,0.2588235294117647,45.0,,0.0,0.0,3.0,0.572972972972973,0.5531233386496544,0.5231952291274325,0.5314714714714716,0.572985904564852,0.572972972972973,0.5687421475529584,0.6917686754551161,0.6631578947368421,0.7,0.6810810810810811,90.0,0.4545454545454545,0.5084745762711864,0.48,59.0,0.5416666666666666,0.3611111111111111,0.4333333333333333,36.0,0.8162162162162162,0.6816770186335404,0.4328398025877017,0.4387968353485594,0.7950996877251982,0.8162162162162162,0.793247479454376,0.7080582232893158,0.8633540372670807,0.9455782312925172,0.9025974025974026,147.0,0.5,0.3529411764705882,0.4137931034482758,34.0,,0.0,0.0,4.0,baseline_1781214199,run_1,data/brca.csv,1000,data/bags_np/bag_150/,128,True,False,False,8,10,0.001,0.001,0.2,4e-05,cosine,uni,none,False,abmil,1.0,linear,linear,,,,,,,,,,,,
fold_1,0.6771689497716895,0.4486486486486487,0.2983816964285714,0.2771353828054859,0.2771198830409356,0.4157565154440154,0.4486486486486487,0.4198941046309467,0.6086168642869675,0.4,0.2162162162162162,0.2807017543859649,37.0,0.5078125,0.6701030927835051,0.5777777777777777,97.0,0.2857142857142857,0.2222222222222222,0.25,45.0,0.0,0.0,0.0,6.0,0.4918918918918919,0.4588910503953621,0.4426916221033868,0.4373545958589742,0.4830086234429894,0.4918918918918919,0.4772089144233887,0.6638558790519574,0.5643564356435643,0.6333333333333333,0.5968586387434555,90.0,0.4032258064516129,0.4901960784313725,0.4424778761061947,51.0,0.4090909090909091,0.2045454545454545,0.2727272727272727,44.0,0.7405405405405405,0.6123748862602366,0.3993743482794578,0.3977324263038548,0.7099242073799951,0.7405405405405405,0.707549181834896,0.6550901788128066,0.7961783439490446,0.9124087591240876,0.8503401360544217,137.0,0.4285714285714285,0.2857142857142857,0.3428571428571428,42.0,,0.0,0.0,6.0,baseline_1781214199,run_1,data/brca.csv,1000,data/bags_np/bag_150/,128,True,False,False,8,10,0.001,0.001,0.2,4e-05,cosine,uni,none,False,abmil,1.0,linear,linear,,,,,,,,,,,,
fold_2,0.6303526448362721,0.4972972972972973,0.2729437229437229,0.272248256320837,0.2708436547846119,0.4639101439101439,0.4972972972972973,0.4781730763437024,0.6367050518260196,0.2,0.1612903225806451,0.1785714285714285,31.0,0.6190476190476191,0.7027027027027027,0.6582278481012658,111.0,0.2727272727272727,0.225,0.2465753424657534,40.0,0.0,0.0,0.0,3.0,0.5783783783783784,0.5086288334370176,0.4926390228222437,0.4930875073255277,0.5540463944970753,0.5783783783783784,0.5590928966223546,0.720813243330119,0.6486486486486487,0.8,0.7164179104477612,90.0,0.5294117647058824,0.4426229508196721,0.4821428571428571,61.0,0.3478260869565217,0.2352941176470588,0.2807017543859649,34.0,0.772972972972973,0.4573055028462998,0.4280841993072209,0.4367940398942562,0.7521513923790965,0.772972972972973,0.7572458543619321,0.7431654676258993,0.8235294117647058,0.9064748201438848,0.863013698630137,139.0,0.5483870967741935,0.3777777777777777,0.4473684210526316,45.0,0.0,0.0,0.0,1.0,baseline_1781214199,run_1,data/brca.csv,1000,data/bags_np/bag_150/,128,True,False,False,8,10,0.001,0.001,0.2,4e-05,cosine,uni,none,False,abmil,1.0,linear,linear,,,,,,,,,,,,
fold_3,0.6253418413855971,0.4702702702702703,0.261831548586016,0.2431727904667328,0.2362461037926876,0.4213873987371318,0.4702702702702703,0.4281479295143891,0.570719873168522,0.3571428571428571,0.131578947368421,0.1923076923076923,38.0,0.5611510791366906,0.7358490566037735,0.636734693877551,106.0,0.1290322580645161,0.1052631578947368,0.1159420289855072,38.0,0.0,0.0,0.0,3.0,0.5405405405405406,0.5179497541590894,0.5083852057541748,0.5030745116952013,0.5319797065200177,0.5405405405405406,0.5251888372578027,0.6798349338578427,0.5742574257425742,0.7733333333333333,0.6590909090909091,75.0,0.5510204081632653,0.4029850746268656,0.4655172413793103,67.0,0.4285714285714285,0.3488372093023256,0.3846153846153846,43.0,0.8,0.6309258226436141,0.3997979797979797,0.4051505470035821,0.7727547018002614,0.8,0.7785234435713669,0.6724579124579124,0.852760736196319,0.9266666666666666,0.8881789137380192,150.0,0.4090909090909091,0.2727272727272727,0.3272727272727272,33.0,,0.0,0.0,2.0,baseline_1781214199,run_1,data/brca.csv,1000,data/bags_np/bag_150/,128,True,False,False,8,10,0.001,0.001,0.2,4e-05,cosine,uni,none,False,abmil,1.0,linear,linear,,,,,,,,,,,,
fold_4,0.6718446601941748,0.5760869565217391,0.487629753758786,0.3431712962962963,0.3471782700421941,0.5616045245077502,0.5760869565217391,0.5530338470005504,0.7068061985596708,0.2857142857142857,0.25,0.2666666666666666,24.0,0.6287878787878788,0.7685185185185185,0.6916666666666667,108.0,0.5483870967741935,0.3541666666666667,0.430379746835443,48.0,,0.0,0.0,4.0,0.532608695652174,0.4575059049951885,0.4534050179211469,0.447831758124136,0.5451996002479909,0.532608695652174,0.5330333266824291,0.6263079130028565,0.7065217391304348,0.6372549019607843,0.6701030927835051,102.0,0.380281690140845,0.5294117647058824,0.4426229508196721,51.0,0.2857142857142857,0.1935483870967742,0.2307692307692307,31.0,0.7554347826086957,0.5861391694725029,0.3755367439577965,0.3752276867030965,0.7152153828028599,0.7554347826086957,0.7226775956284152,0.6806935754304176,0.808641975308642,0.916083916083916,0.8590163934426229,143.0,0.3636363636363636,0.2105263157894736,0.2666666666666666,38.0,,0.0,0.0,3.0,baseline_1781214199,run_1,data/brca.csv,1000,data/bags_np/bag_150/,128,True,False,False,8,10,0.001,0.001,0.2,4e-05,cosine,uni,none,False,abmil,1.0,linear,linear,,,,,,,,,,,,
